"name" "long" "lat"
"243" "9 St & 44 Rd" -73.9521 40.74966
"244" "Central Park West & W 72 St" -73.9762057363987 40.7757937668367
"245" "Washington Ave & Park Ave" -73.96751037 40.69610226
"246" "W 45 St & 8 Ave" -73.98859651 40.75929124
"247" "W 56 St & 6 Ave" -73.97722479 40.76340613
"248" "8 Ave & W 31 St" -73.9946848154068 40.7505853470215
"249" "Mercer St & Bleecker St" -73.9966213703155 40.7270636334831
"250" "Columbus Ave & W 72 St" -73.97898475 40.7770575
"251" "E 55 St & 3 Ave" -73.9686539769173 40.7589965596051
"252" "Vernon Blvd & 50 Ave" -73.95411749 40.74232744
"253" "Watts St & Greenwich St" -74.00965965 40.72405549
"254" "Fulton St & Washington Ave" -73.964915 40.683048
"255" "E 81 St & York Ave" -73.94989233 40.7728384
"256" "Mott St & Prince St" -73.99480012 40.72317958
"257" "E 30 St & Park Ave S" -73.98303529 40.74444921
"258" "2 Ave & E 31 St" -73.97706058 40.74290902
"259" "Laight St & Hudson St" -74.00771779 40.72185379
"260" "Murray St & West St" -74.013012 40.7149787
"261" "Cooper Square & E 7 St" -73.9908680319786 40.7292364991001
"262" "5 Ave & E 29 St" -73.98683077 40.7451677
"263" "1 Ave & E 44 St" -73.96905301 40.75001986
"264" "Broad St & Bridge St" -74.01167797 40.70365182
"265" "Liberty St & Broadway" -74.01043382 40.70905623
"266" "Queens Plaza North & Crescent St" -73.94073717 40.75110165
"267" "Bus Slip & State St" -74.013942 40.701907
"268" "John St & William St" -74.00722156 40.70862144
"269" "W 13 St & Hudson St" -74.0051387250423 40.7399735410341
"270" "E 81 St & 3 Ave" -73.9567526 40.77573034
"271" "McGuinness Blvd & Eagle St" -73.95284 40.73555
"272" "12 Ave & W 40 St" -74.00277668 40.76087502
"273" "6 Ave & Canal St" -74.00566443 40.72243797
"274" "Perry St & Bleecker St" -74.00483091 40.73535398
"275" "Central Park S & 6 Ave" -73.97634151 40.76590936
"276" "W 82 St & Central Park West" -73.97137 40.78275
"277" "Broadway & W 55 St" -73.98192338 40.7652654
"278" "E 51 St & Lexington Ave" -73.97207836 40.75714758
"279" "Pearl St & Anchorage Pl" -73.98765762 40.70281858
"280" "W 22 St & 10 Ave" -74.00451887 40.74691959
"281" "Fulton St & Rockwell Pl" -73.979382 40.688226
"282" "Pike St & Monroe St" -73.99193043 40.71173107
"283" "W 13 St & 5 Ave" -73.99453948 40.73543934
"284" "Centre St & Chambers St" -74.0046073 40.71273266
"285" "E 16 St & 5 Ave" -73.99238967 40.73726186
"286" "E 23 St & 1 Ave" -73.97809472 40.736502
"287" "E 59 St & Madison Ave" -73.97109243 40.76350532
"288" "E 16 St & Irving Pl" -73.98758561 40.73524276
"289" "Old Slip & Front St" -74.00838676 40.7037992
"290" "Leonard St & Bayard St" -73.94861 40.71928
"291" "W 44 St & 5 Ave" -73.98014437 40.75500254
